zinc,,Smiles,Dock,SA,HBA,HBD,ROTB,LOGP,QED,MW
ZINC000066113504,,CCc1c2c(nc3ccccc13)-c1c(N)c3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,-8.9,3.531156027,6,2,2,2.2242,0.507533798,391.4
ZINC000068200503,,Brc1cccc(-c2cc(-c3ccc4c(c3)OCO4)n[nH]2)c1,-8.9,2.210034191,3,1,2,4.2349,0.757308978,343.2
ZINC000068251496,,Cc1cccc(C)c1/C=C/C1CCN(C(=O)CN2CCOCC2)CC1,-8.9,2.444493544,3,0,4,2.88744,0.843409097,342.5
ZINC000071335071,,COCCc1sc(S(=O)(=O)/N=C(\O)Nc2cc(C(F)(F)F)cc(C)n2)cc1C,-8.9,3.140682006,6,2,6,3.68244,0.528180701,437.5
ZINC000077024226,,Cc1c(Cn2c(C)nc3c(C(=O)O)cc(N4CCOCC4)cc32)cccc1C(F)(F)F,-8.9,2.682508891,5,1,4,4.25504,0.666261466,433.4
ZINC000084758239,,CC(C)c1ccc(C(=O)N(C)CCN2CCN(C(=O)c3cccc4ccoc34)CC2)cc1,-8.9,2.377952275,4,0,6,4.0862,0.587684251,433.6
ZINC000087626902,,CN(C(=O)[C@H]1CCCN1C(=O)[C@H](N)Cc1ccc(O)cc1)[C@@H](Cc1ccccc1)C(=O)N1CCC[C@@H]1C(N)=O,-8.9,3.654475687,6,3,9,0.799,0.432254597,535.6
ZINC000100042499,,N=C(N)NC[C@H]1CC[C@H](C(=O)Oc2ccccc2C(=O)OCc2ccccc2)CC1,-8.9,2.284149525,6,3,7,3.23847,0.279907847,409.5
ZINC000100071163,,CN(C)C(=O)[C@@H]([C@H]1CC[C@@H](c2cccc3ncnn32)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1,-8.9,4.030590482,5,1,5,1.6052,0.777335398,430.5
ZINC000100380747,,CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@H](C1)C2,-8.9,4.268063723,2,1,0,4.4664,0.725196772,284.8
ZINC000100830056,,COc1ccc(-c2ccc3cccc4c3c2[C@@H](O)[C@H](O)[C@H]4O)cc1,-8.9,3.30430433,4,3,2,2.9567,0.67831203,322.4
ZINC000104883775,,CC(C)C1=CC2=C(CC1)[C@]1(C)CCC[C@@](C)(C(=O)O)[C@H]1CC2,-8.9,4.119413345,2,1,2,5.3503,0.746194436,302.5
ZINC000117704832,,COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@@H](OCCO)CC3)c2=O)cn1,-8.9,2.82085213,8,2,6,2.24532,0.615899171,425.5
ZINC000135642045,,C=CC1=C2COC3=CC(=O)C=CC3=C2Nc2ccc(O)cc21,-8.9,3.453483797,4,2,1,3.0644,0.780740898,291.3
ZINC000136082304,,Cc1cc(F)ccc1[C@H]1C[C@@H](OC(=O)NCCO)CCN1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,-8.9,3.657005812,4,2,6,5.64772,0.433963371,579.5
ZINC000139850297,,O=C(O)c1ccccc1Cc1ccc(C(F)(F)F)cc1NS(=O)(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-8.9,2.635525457,4,2,6,6.8328,0.317911898,571.4
ZINC000140187983,,CCN(C)C(=O)c1cccc(-c2ccc3c(c2)CC[C@H](N2CCCC2)C3)c1,-8.9,2.698058027,2,0,4,4.3986,0.804814127,362.5
ZINC000166590399,,CCc1c(C)cc2c(c1O)C(=O)[C@@H]1O[C@@](C)(C(=O)OC)C(=O)C(C)(C)[C@@H]1C2=O,-8.9,4.369973855,7,1,2,2.18402,0.61112495,388.4
ZINC000239402955,,CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@](C)(O)[C@H]2COc2ccc3ccc(=O)oc3c2)C1(C)C,-8.9,4.082077984,6,1,4,4.707,0.545294343,442.6
ZINC000257387098,,CC(C)/C=C\[C@@H](C)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C,-8.9,4.389680206,1,1,3,6.7746,0.543152202,370.6
ZINC000299870046,,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@H]1C[C@H](C(=O)NCc1cccnc1)[C@@H]2O,-8.9,3.917936614,4,3,3,3.5467,0.72807148,406.5
ZINC000299870124,,C[C@H](NC(=O)[C@@H]1C[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]2(C)[C@H]1O)c1ccccc1,-8.9,3.926598406,3,3,3,4.7127,0.674637824,419.6
ZINC000299870129,,CC(C)/C=C1\C[C@@H]2[C@H]3CCc4cc(O)ccc4[C@H]3CC[C@]2(C)[C@H]1O,-8.9,4.14015612,2,2,1,4.8015,0.727696318,326.5
ZINC000299870330,,CCOC(=O)C[C@@H]1C[C@@H]2[C@H]3CCc4cc(O)ccc4[C@H]3CC[C@]2(C)C1=O,-8.9,3.870306142,4,1,3,3.9967,0.831729802,356.5
ZINC000000000684,,CC(C)(C)c1cc([C@H](O)CCC2CCNCC2)c2ccccc2n1,-8.8,2.927329766,3,2,4,4.3455,0.877996004,326.5
